	H1	H3	H5	Cal_N1	N2	Vie_N1
sasa_rapadead_vs_all	2.606_0.009167	0.402_0.687493	3.107_0.001892	0.986_0.324335		-1.141_0.253993
sasa_rapalive_vs_all	0.566_0.571328	-0.916_0.359795	nan_nan	-1.384_0.166486		0.696_0.486352
sasa_pbslive_vs_all	-1.348_0.177734	0.921_0.356948	0.435_0.663341	0.677_0.498597		-0.23_0.818385
sasa_pbsdead_vs_all	1.303_0.192405	0.182_0.855848	-0.082_0.934441	1.883_0.059749		0.598_0.549718
conservation_rapadead_vs_all	-0.679_0.496886	-1.156_0.247746	3.611_0.000305	-0.467_0.640582	-0.014_0.988766	1.219_0.222998
conservation_rapalive_vs_all	1.646_0.099689	-3.448_0.000565	1.032_0.302022	0.843_0.399032	-1.15_0.250002	0.772_0.440248
conservation_pbslive_vs_all	-0.567_0.570646	-3.201_0.001371	1.813_0.069797	-1.803_0.071328	-1.263_0.206637	-2.898_0.003758
conservation_pbsdead_vs_all	1.916_0.055373	-0.482_0.629784	-0.848_0.39627	2.32_0.020325	-3.34_0.000837	-1.254_0.209723
